"","location","ele","time","name","date","species.code","sex..M.F.","age.pelage..J.A.S.","Rat.ID","left.eartag","right.eartag","RFID","new.animal...Y.N.","total.mass..g.","female..perforate..partially.perforate..imperforate.","female.nipple.size..S.M.L.","pregnant...Y.N.Possibly.","fleas","ticks","male..scrotal..nonscrotal.","Notes","X","X.1","X.2","date_index","year","rat_id_index","coords.x1","coords.x2","optional"
"87","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2018-06-03,"NeFu","F","J",314,"0314","","0015C465DE","Y",105,"I","S","N","Y","N","","radiocollar 164.074; went into house",NA,"",NA,40,2018,19,-122.154458966106,38.502285964787,TRUE
"88","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2018-07-01,"NeFu","F","A",5766,"5766/0384","","0015C465A3","N",181.5,"P","L","N","N","N","","tail cut; dried milk on nipples; went back into house",NA,"",NA,44,2018,90,-122.154458966106,38.502285964787,TRUE
"89","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2017-05-15,"Nefu","M","A",5769,"5769","","","Y",255,"","","","N","N","NS","ran away from 8C towards 6",NA,"",NA,32,2017,92,-122.154458966106,38.502285964787,TRUE
"90","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2013-08-10,"Nefu","M","A",5537,"5537","","1B7970135B","Y",227,"","","","","","NS","",NA,"",NA,12,2013,58,-122.154458966106,38.502285964787,TRUE
"91","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2019-08-26,"NeFu","F","A",5766,"5766/0384","","0015C465A3","N",187.5,"I","M","N","Y","N","","cut off tail; back into house",NA,"",NA,55,2019,90,-122.154458966106,38.502285964787,TRUE
"92","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2014-06-07,"Nefu","M","A",6325,"6325","","1B79701A33","N",195,"","","","N","N","NS","",NA,"",NA,19,2014,121,-122.154458966106,38.502285964787,TRUE
"93","WC08D",175.27562,"2013/04/30 17:33:18+00","WC08D",2013-08-10,"Nefu","F","",5758,"5758","","","N",NA,"","","","Y","","","escaped",NA,"",NA,12,2013,86,-122.154061999172,38.5023790039122,TRUE
"94","WC08D",175.27562,"2013/04/30 17:33:18+00","WC08D",2013-07-27,"Nefu","F","",5758,"5758","","","Y",135,"I","S","N","N","","","gash healing on back, did not pit tag",NA,"",NA,11,2013,86,-122.154061999172,38.5023790039122,TRUE
"96","WC09",172.647446,"2013/04/30 17:33:18+00","WC09",2012-07-18,"Nefu","F","S",5578,"5578","","1B79702682","Y",125,"I","S","N","","","","Some brown on pelt",NA,"",NA,1,2012,72,-122.15386996977,38.5027150344104,TRUE
"97","WC09",172.647446,"2013/04/30 17:33:18+00","WC09",2014-04-13,"Nefu","M","A",6325,"6325","","1B79701A33","N",185,"","","","","","NS","",NA,"",NA,17,2014,121,-122.15386996977,38.5027150344104,TRUE
"98","WC09",172.647446,"2013/04/30 17:33:18+00","WC09",2013-08-10,"Nefu","M","S",6325,"6325","","1B79701A33","Y",190,"","","","","","NS","",NA,"",NA,12,2013,121,-122.15386996977,38.5027150344104,TRUE
"99","WC09",172.647446,"2013/04/30 17:33:18+00","WC09",2012-09-06,"Nefu","F","A",5782,"5782","","1B79701DD1","N",155,"I","S","N","","","","Dried milk on nipples",NA,"",NA,4,2012,101,-122.15386996977,38.5027150344104,TRUE
"100","WC09",172.647446,"2013/04/30 17:33:18+00","WC09",2012-07-18,"Nefu","F","A",5782,"5782","","1B79701DD1","Y",145,"P","M","N","","","","Dried milk on nipples",NA,"",NA,1,2012,101,-122.15386996977,38.5027150344104,TRUE
"101","WC09",172.647446,"2013/04/30 17:33:18+00","WC09",2012-07-25,"Nefu","F","A",5782,"5782","","1B79701DD1","N",150,"I","S","N","","","","",NA,"",NA,2,2012,101,-122.15386996977,38.5027150344104,TRUE
"102","WC09",172.647446,"2013/04/30 17:33:18+00","WC09",2019-09-22,"NeFu","F","A",405,"0405","","003D2D261E","Y",144,"PP","S","N","Y","N","","ran downhill",NA,"",NA,56,2019,31,-122.15386996977,38.5027150344104,TRUE
